original_ticket,Ticket_number
TN077600,DTB001411
TN287200,DTB001421
TN604960,DTB001424
TN906020,DTB001424
TN656000,DTB001428
TN716000,DTB001415
TN551800,DTB001426
TN944900,DTB001418
TN956160,DTB001429
TN897470,DTB001418
TN097700,DTB001418
TN122000,DTB001424
TN406160,DTB001424
TN818900,DTB001425
TN360400,DTB001424
TN208800,DTB001424
TN225000,DTB001419
TN364200,DTB001426
TN333800,DTB001412
TN723720,DTB001425
TN806300,DTB001425
TN778270,DTB001425
TN019500,DTB001416
TN523900,DTB001416
TN213100,DTB001425
TN372200,DTB001427
TN184400,DTB001427
TN013800,DTB001425
TN241150,DTB001416
TN130430,DTB001426
TN309400,DTB001428
TN019140,DTB001426
TN109040,DTB001426
TN238900,DTB001426
TN144300,DTB001427
TN180400,DTB001427
TN514200,DTB001417
TN994100,DTB001417
TN277040,DTB001419
TN326100,DTB001428
TN526200,DTB001417
TN726500,DTB001421
TN078600,DTB001421
TN116900,DTB001421
TN262100,DTB001427
TN262900,DTB001430
TN457600,DTB001430
TN831900,DTB001431
TN773250,DTB001422
TN797760,DTB001424
TN676800,DTB001424
TN158600,DTB001424
TN436800,DTB001428
TN059600,DTB001413
TN207700,DTB001410
TN498700,DTB001425
TN817600,DTB001420
TN793600,DTB001417
TN293800,DTB001420
TN713240,DTB001416
TN197700,DTB001428
TN529150,DTB001429
TN186200,DTB001430
TN412000,DTB001422
TN948300,DTB001421
TN106750,DTB001421
TN081500,DTB001422
TN113900,DTB001423
TN103700,DTB001426
TN918940,DTB001426
TN518880,DTB001424
TN577600,DTB001417
TN940800,DTB001413
TN924670,DTB001413
TN766850,DTB001420
TN021400,DTB001427
TN322300,DTB001424
TN596100,DTB001414
TN850800,DTB001426
TN834200,DTB001426
TN901800,DTB001419
TN485500,DTB001418
TN903550,DTB001433
TN742800,DTB001419
TN697600,DTB001417
TN219600,DTB001427
TN053600,DTB001419
TN508400,DTB001408
TN036600,DTB001417
TN592900,DTB001418
TN752400,DTB001421
TN610820,DTB001410
TN385400,DTB001410
TN402600,DTB001410
TN479300,DTB001408
TN248960,DTB001411
TN504500,DTB001432
TN555800,DTB001432
TN112300,DTB001425
TN155100,DTB001426
TN069100,DTB001427
TN461400,DTB001422
TN247200,DTB001425
TN735200,DTB001427
TN484000,DTB001426
TN273900,DTB001415
TN556800,DTB001414
TN282600,DTB001420
TN226050,DTB001429
TN029950,DTB001415
TN529000,DTB001415
TN698600,DTB001424
TN772000,DTB001415
TN582500,DTB001430
TN622800,DTB001416
TN875800,DTB001431
TN051260,DTB001425
TN024400,DTB001421
TN335400,DTB001426
TN107500,DTB001421
TN095800,DTB001421
TN766850,DTB001433
TN346900,DTB001431
TN855870,DTB001431
TN288900,DTB001415
TN542100,DTB001408
TN383000,DTB001410
TN953100,DTB001412
TN883100,DTB001412
TN477800,DTB001413
TN293800,TN000514
TN149900,TN000539
TN036600,DTB008247
TN742800,DTB014691
TN752400,DTB015524
TN095800,DTB019374
TN457600,DTB020226
TN053600,DTB027729
TN116900,DTB028271
TN107500,DTB030740
TN446460,DTB031652
TN412000,DTB033102
TN268800,DTB033498
TN149900,DTB033502
TN402600,DTB033625
TN262900,DTB033850
TN946600,DTB033894
TN529000,DTB033940
TN364200,DTB034248
TN199400,DTB034317
TN219600,DTB034912
TN238900,DTB037318
TN155100,DTB038345
TN067100,DTB038747
TN529000,DTB038858
TN364200,DTB039483
TN248960,DTB039537
TN019500,DTB039614
TN024400,DTB039827
TN149900,DTB039861
TN504500,DTB039890
TN087400,DTB039931
TN526200,DTB042202
TN255200,DTB043765
TN106750,DTB043769
TN318140,DTB043830
TN186200,DTB043908
TN735200,DTB044074
